"abi","cab","id","name","street","zip","country:id"
"03207","39152","base.0320739152","CAPITALIA, SOCIETA' PER AZIONI","VIALE ROMA, 90","00012","base.it"
"03207","39151","base.0320739151","CAPITALIA, SOCIETA' PER AZIONI","VIA LAMARMORA, 8","00010","base.it"
"03207","39153","base.0320739153","CAPITALIA, SOCIETA' PER AZIONI","PIAZZA TRILUSSA, 28","00010","base.it"
"06055","39150","base.0605539150","BANCA DELLE MARCHE S.P.A.","VIA ROMA, 107","00012","base.it"
"03452","39152","base.0345239152","BANCO DI S. SPIRITO","VIALE ROMA, 90","00012","base.it"
"03452","39151","base.0345239151","BANCO DI S. SPIRITO","VIA MAREMMANA INFERIORE, 1","00010","base.it"
"03452","39150","base.0345239150","BANCO DI S. SPIRITO","VIA ROMA","00012","base.it"
"08327","39150","base.0832739150","BANCA DI CREDITO COOPERATIVO DI ROMA SOCIETA' COOPERATIVA","VIA MAREMMANA INFERIORE, 93","00012","base.it"
"08327","39151","base.0832739151","BANCA DI CREDITO COOPERATIVO DI ROMA SOCIETA' COOPERATIVA","VIA TENUTA DEL CAVALIERE 1","00012","base.it"
"05040","39150","base.0504039150","BANCA ANTONIANA POPOLARE VENETA S.P.A. (IN FORMA ABBREVIATA BANCA ANTONVENETA SPA)","VIALE ROMA, 116/B","00012","base.it"
"03032","39154","base.0303239154","CREDITO EMILIANO S.P.A.","VIA TENUTA DEL CAVALIERE","00012","base.it"
"03002","39150","base.0300239150","BANCA DI ROMA","VIALE ROMA, 116","00012","base.it"
"03002","39152","base.0300239152","BANCA DI ROMA","VIALE ROMA, 90","00012","base.it"
"03002","39151","base.0300239151","BANCA DI ROMA","VIA MAREMMANA INFERIORE, 1","00010","base.it"
"03002","39153","base.0300239153","BANCA DI ROMA","PIAZZA TRILUSSA, 28","00010","base.it"
"08716","39150","base.0871639150","BANCA CENTRO LAZIO CREDITO COOPERATIVO - SOCIETA' COOPERATIVA","LARGO CORNELIA, SNC","00012","base.it"
"06040","39150","base.0604039150","CARISPAQ - CASSA DI RISPARMIO DELLA PROVINCIA DELL'AQUILA S.P.A.","VIA TIBURTINA KM. 25,4","00010","base.it"
"01015","39150","base.0101539150","BANCO DI SARDEGNA S.P.A.","VIA ROMA, 70/72","00012","base.it"
"05704","39150","base.0570439150","BANCA POPOLARE DI SPOLETO S.P.A.","VIA MAREMMANA INFERIORE, 218","00012","base.it"
"03069","39150","base.0306939150","INTESA SANPAOLO S.P.A.","PRESSO AERONAUTICA MILITARE - AEROPORTO DI GUIDONIA - VIA ROMA","00012","base.it"
"03069","39151","base.0306939151","INTESA SANPAOLO S.P.A.","VIALE ROMA, 124","00012","base.it"
"03069","39152","base.0306939152","INTESA SANPAOLO S.P.A.","VIA TIBURTINA KM. 16,200","00131","base.it"
"03002","39154","base.0300239154","UNICREDIT BANCA DI ROMA S.P.A.","C/O COMPLESSO AGRO-ALIMENTARE ROMA CAR-VIA TENUTA DEL CAVALIERE ANG. VIA TIBURTI","00012","base.it"
"03002","39155","base.0300239155","BANCA DI ROMA, SOCIETA' PER AZIONI","VIA TENUTA DEL CAVALIERE, SNC","00012","base.it"
"03135","39152","base.0313539152","UNICREDIT, SOCIETA' PER AZIONI","VIALE ROMA, 90","00012","base.it"
"03135","39151","base.0313539151","UNICREDIT, SOCIETA' PER AZIONI","VIA LAMARMORA, 8","00010","base.it"
"03135","39150","base.0313539150","UNICREDIT, SOCIETA' PER AZIONI","VIALE ROMA, 140","00012","base.it"
"03135","39153","base.0313539153","UNICREDIT, SOCIETA' PER AZIONI","PIAZZA TRILUSSA, 28","00010","base.it"
"03135","39154","base.0313539154","UNICREDIT, SOCIETA' PER AZIONI","C/O COMPLESSO AGRO-ALIMENTARE ROMA CAR-VIA TENUTA DEL CAVALIERE ANG. VIA TIBURTI","00012","base.it"
"03135","39157","base.0313539157","UNICREDIT, SOCIETA' PER AZIONI","VIALE ROMA, 140","00012","base.it"
"01025","39150","base.0102539150","SANPAOLO IMI S.P.A.","VIA TIBURTINA KM. 16,200","00131","base.it"
"03111","39150","base.0311139150","UNIONE DI BANCHE ITALIANE SOCIETA' PER AZIONI (IN FORMA ABBREVIATA UBI BANCA)","VIA NAZIONALE TIBURTINA, 122","00012","base.it"
"03111","39151","base.0311139151","UNIONE DI BANCHE ITALIANE SOCIETA' PER AZIONI (IN FORMA ABBREVIATA UBI BANCA)","VIA ROMA, 26","00012","base.it"
"05104","32086","base.0510432086","BANCA POPOLARE DEL LAZIO SOCIETA' COOPERATIVA"," ","00000","base.it"
"05104","39150","base.0510439150","BANCA POPOLARE DEL LAZIO SOCIETA' COOPERATIVA","VIA MAREMMANA INFERIORE, 38/40","00012","base.it"
"05104","39151","base.0510439151","BANCA POPOLARE DEL LAZIO SOCIETA' COOPERATIVA","VIALE ROMA, NÂ° 70","00012","base.it"
"02008","39150","base.0200839150","UNICREDITO ITALIANO - S.P.A.","VIALE ROMA, 140","00012","base.it"
"02008","39151","base.0200839151","UNICREDITO ITALIANO - S.P.A.","VIA MAREMMANA INFERIORE, 46","00010","base.it"
"02002","39150","base.0200239150","BANCA COMMERCIALE ITALIANA","PRESSO COMANDO AERONAUTICA MILITARE - AEROPORTO DI GUIDONIA - VIA ROMA","00012","base.it"
"02002","39151","base.0200239151","BANCA COMMERCIALE ITALIANA","VIALE ROMA, 124","00012","base.it"
